site_id,date,flow_cfs,qualifiers
06446000,1990-01-01,12.0,A:e
06446000,1990-01-02,12.0,A:e
06446000,1990-01-03,12.0,A:e
06446000,1990-01-04,12.0,A:e
06446000,1990-01-05,11.0,A:e
06446000,1990-01-06,12.0,A:e
06446000,1990-01-07,13.0,A:e
06446000,1990-01-08,14.0,A:e
06446000,1990-01-09,14.0,A:e
06446000,1990-01-10,15.0,A:e
06446000,1990-01-11,16.0,A:e
06446000,1990-01-12,17.0,A:e
06446000,1990-01-13,17.0,A:e
06446000,1990-01-14,17.0,A:e
06446000,1990-01-15,17.0,A:e
06446000,1990-01-16,20.0,A:e
06446000,1990-01-17,26.0,A:e
06446000,1990-01-18,26.0,A:e
06446000,1990-01-19,26.0,A:e
06446000,1990-01-20,25.0,A:e
06446000,1990-01-21,23.0,A:e
06446000,1990-01-22,20.0,A:e
06446000,1990-01-23,23.0,A:e
06446000,1990-01-24,20.0,A:e
06446000,1990-01-25,20.0,A:e
06446000,1990-01-26,18.0,A:e
06446000,1990-01-27,18.0,A:e
06446000,1990-01-28,20.0,A:e
06446000,1990-01-29,14.0,A:e
06446000,1990-01-30,12.0,A:e
06446000,1990-01-31,11.0,A:e
06446000,1990-02-01,10.0,A:e
06446000,1990-02-02,10.0,A:e
06446000,1990-02-03,11.0,A:e
06446000,1990-02-04,11.0,A:e
06446000,1990-02-05,11.0,A:e
06446000,1990-02-06,11.0,A:e
06446000,1990-02-07,12.0,A:e
06446000,1990-02-08,11.0,A:e
06446000,1990-02-09,10.0,A:e
06446000,1990-02-10,10.0,A:e
06446000,1990-02-11,14.0,A:e
06446000,1990-02-12,19.0,A:e
06446000,1990-02-13,26.0,A:e
06446000,1990-02-14,28.0,A:e
06446000,1990-02-15,19.0,A:e
06446000,1990-02-16,16.0,A:e
06446000,1990-02-17,13.0,A:e
06446000,1990-02-18,10.0,A:e
06446000,1990-02-19,10.0,A:e
06446000,1990-02-20,10.0,A:e
06446000,1990-02-21,12.0,A:e
06446000,1990-02-22,13.0,A:e
06446000,1990-02-23,15.0,A:e
06446000,1990-02-24,17.0,A:e
06446000,1990-02-25,18.0,A:e
06446000,1990-02-26,22.0,A:e
06446000,1990-02-27,36.0,A:e
06446000,1990-02-28,32.0,A:e
06446000,1990-03-01,46.0,A:e
06446000,1990-03-02,50.0,A:e
06446000,1990-03-03,40.0,A:e
06446000,1990-03-04,32.0,A:e
06446000,1990-03-05,26.0,A:e
06446000,1990-03-06,26.0,A:e
06446000,1990-03-07,32.0,A:e
06446000,1990-03-08,33.0,A:e
06446000,1990-03-09,32.0,A:e
06446000,1990-03-10,30.0,A:e
06446000,1990-03-11,40.0,A
06446000,1990-03-12,46.0,A
06446000,1990-03-13,53.0,A
06446000,1990-03-14,53.0,A
06446000,1990-03-15,55.0,A
06446000,1990-03-16,94.0,A
06446000,1990-03-17,80.0,A
06446000,1990-03-18,51.0,A
06446000,1990-03-19,39.0,A
06446000,1990-03-20,35.0,A
06446000,1990-03-21,37.0,A
06446000,1990-03-22,34.0,A
06446000,1990-03-23,32.0,A
06446000,1990-03-24,30.0,A:e
06446000,1990-03-25,28.0,A:e
06446000,1990-03-26,24.0,A
06446000,1990-03-27,24.0,A
06446000,1990-03-28,25.0,A
06446000,1990-03-29,26.0,A
06446000,1990-03-30,30.0,A
06446000,1990-03-31,32.0,A
06446000,1990-04-01,31.0,A
06446000,1990-04-02,33.0,A
06446000,1990-04-03,31.0,A
06446000,1990-04-04,30.0,A
06446000,1990-04-05,28.0,A
06446000,1990-04-06,26.0,A
06446000,1990-04-07,25.0,A
06446000,1990-04-08,24.0,A
06446000,1990-04-09,23.0,A
06446000,1990-04-10,23.0,A
06446000,1990-04-11,23.0,A
06446000,1990-04-12,24.0,A
06446000,1990-04-13,25.0,A
06446000,1990-04-14,26.0,A
06446000,1990-04-15,27.0,A
06446000,1990-04-16,33.0,A
06446000,1990-04-17,44.0,A
06446000,1990-04-18,45.0,A
06446000,1990-04-19,47.0,A
06446000,1990-04-20,46.0,A
06446000,1990-04-21,43.0,A
06446000,1990-04-22,38.0,A
06446000,1990-04-23,32.0,A
06446000,1990-04-24,29.0,A
06446000,1990-04-25,29.0,A
06446000,1990-04-26,26.0,A
06446000,1990-04-27,23.0,A
06446000,1990-04-28,23.0,A
06446000,1990-04-29,24.0,A
06446000,1990-04-30,27.0,A
06446000,1990-05-01,53.0,A
06446000,1990-05-02,52.0,A
06446000,1990-05-03,64.0,A
06446000,1990-05-04,59.0,A
06446000,1990-05-05,45.0,A
06446000,1990-05-06,39.0,A
06446000,1990-05-07,38.0,A
06446000,1990-05-08,34.0,A
06446000,1990-05-09,33.0,A
06446000,1990-05-10,32.0,A
06446000,1990-05-11,32.0,A
06446000,1990-05-12,31.0,A
06446000,1990-05-13,29.0,A:e
06446000,1990-05-14,26.0,A
06446000,1990-05-15,34.0,A
06446000,1990-05-16,33.0,A
06446000,1990-05-17,29.0,A
06446000,1990-05-18,27.0,A
06446000,1990-05-19,34.0,A
06446000,1990-05-20,35.0,A
06446000,1990-05-21,39.0,A
06446000,1990-05-22,43.0,A
